"Threshold, F-score, Precision, Recall"
1.0,0.00848910858067013,1.0,0.004262647328340759
0.0,0.053041804796367185,0.027243422548587148,1.0
0.02,0.05390587106951642,0.027703375414624712,0.9949994818751017
0.04,0.0541159251553703,0.02781545194782444,0.9935841842206175
0.06,0.05429170326922456,0.02790961904936798,0.9919647830681949
0.08,0.054472914950867854,0.02800701099775928,0.9899529908740001
0.1,0.0546453771309081,0.028099408043830706,0.9884538707073502
0.12,0.05483711200896284,0.028201858556908162,0.9871718608313461
0.14,0.055078394467504746,0.028329871728274426,0.9867295967393738
0.16,0.055286419027126214,0.028440789784977577,0.9857248717587562
0.18,0.05554687330012751,0.028579668398194306,0.9845253695077131
0.2,0.055813698250545246,0.028722026947721593,0.9832716868990395
0.22,0.05615404633724739,0.028903463543165926,0.9819501086263474
0.24,0.05654890257093718,0.029113239118491344,0.9813695773954476
0.26,0.05698393639153318,0.0293455775841264,0.9795033590479808
0.28,0.0574368039011526,0.029587644035580507,0.9775295845003371
0.3,0.05799208395833524,0.029883979118973877,0.9758766405777308
0.32,0.058639286718482564,0.03022910280851103,0.9745420910487456
0.34,0.05939120095060701,0.03063100320116237,0.9724218329428955
0.36,0.06037696225476598,0.03115685355106778,0.9712978833453486
0.38,0.0617447500406523,0.031887716526287226,0.9695748054833643
0.4,0.06376304071995968,0.032967860141874264,0.9675292407180631
0.42,0.06658625891102085,0.03448383051259832,0.96420056616534
0.44,0.07055156783573384,0.036621139352331133,0.9602216377364983
0.46,0.07598688224650224,0.03956827105648379,0.9546013477451808
0.48,0.08402445328276972,0.04396654272748991,0.9451553772894387
0.5,0.09840160926392973,0.051952234223076696,0.929004955991179
0.52,0.12576333962770622,0.06763701351679623,0.8943892632883736
0.54,0.18670015625109923,0.10480128264939802,0.8543387643286348
0.56,0.31514682993413706,0.19503338096084633,0.8203978582275943
0.58,0.3952538120179901,0.2624406482127196,0.8002212424990078
0.6,0.46848644108005,0.33419366386827726,0.78321413594419
0.62,0.5331376469804807,0.408149417330173,0.768466263878916
0.64,0.5890671683251111,0.4821336446288419,0.7569536494014527
0.66,0.6280264763718999,0.5425101428587894,0.7455478092875029
0.68,0.6728444392797424,0.6208644260900723,0.7343234709340695
0.7,0.6959667578597629,0.6701533580486531,0.7238484186914398
0.98,0.7115187971882365,0.9531900335371801,0.5676078413846539
0.72,0.7138290672886816,0.7136005217825764,0.7140577592346531
0.74,0.7299254669559738,0.7572492267898331,0.7045048770353978
0.96,0.7354348717282501,0.9469566099552945,0.6011548805097533
0.76,0.7405706421545742,0.787091331655831,0.6992422351462411
0.94,0.7489852830068091,0.9397441645636518,0.622602965525034
0.78,0.7497564710759407,0.8157635584071335,0.6936316260239737
0.92,0.7567723686207972,0.9313075955552542,0.6373309485484737
0.8,0.757152048254156,0.8412794726730127,0.6883204327634401
0.82,0.7603394425445179,0.8587577147717046,0.6821601993772941
0.9,0.7613933903844108,0.9206986009081158,0.6490845882647776
0.88,0.763350701177314,0.9084788939365173,0.6582036220600221
0.84,0.7633700325822798,0.8782646327277661,0.6750588214959695
0.86,0.7658506884230109,0.8972495707340684,0.6680214211179027
